id,category
1,animals
2,fruites
3,verdures
4,begudes
5,postres
6,colors
7,països
8,ciutats
9,professions
10,objectes de casa
11,objectes de cuina
12,tipus de música
13,tipus de ball
14,jocs de taula
15,esports
16,tipus de transport
17,plantes
18,flors
19,instruments musicals
20,pel·lícules
21,sèries
22,videojocs
23,superherois
24,villans
25,coses que fan soroll
26,coses que fan pudor
27,coses que brillen
28,coses que fan por
29,coses que trobes a la platja
30,coses que trobes al bosc
31,coses que trobes a l’escola
32,coses que trobes a un bar
33,coses que trobes a un hospital
34,coses que es poden trencar
35,coses que es poden menjar
36,coses que no s’han de menjar
37,coses que es poden inflar
38,coses que es poden llançar
39,coses que es poden obrir
40,coses que es poden tancar
41,coses que es poden perdre
42,coses que es poden oblidar
43,coses que fan vergonya
44,coses que fan riure
45,coses que fan ràbia
46,coses que fan mandra
47,coses que fan calor
48,coses que fan fred
49,youtubers
50,jugadors de futbol