id,most_likely_to
1,Fer-se a la més lletja aquesta nit
2,Lligar amb un maniquí pensant-se que és una persona
3,Confondre el DJ amb el cambrer i demanar-li una cervesa
4,Acabar a l'hospital sortint de festa
5,Enviar un missatge pujat de to al grup familiar per error
6,Fer un pet tan fort que pari la música
7,Confondre’s de lavabo i no adonar-se’n fins massa tard
8,Ballar sensualment amb una padrina
9,Intentar seduir algú amb dades d’Excel
10,Explicar-li la seva vida a un desconegut
11,Lligar amb algú que resulta ser un mirall
12,Fer-se un selfie amb un desconegut pensant que és famós
13,Declarar-se a algú que no parla el mateix idioma
14,Intentar pagar una copa amb el DNI
15,Confondre el guarda de seguretat amb un stripper
16,Ballar reggaeton amb una farola
17,Fer un petó accidental a algú mentre badalla
18,Intentar impressionar algú fent flexions i quedar-se encallat
19,Dir “t’estimo” a algú que acabes de conèixer
20,Fer un brindis per un aniversari que no és avui
21,Intentar fer un striptease i no poder-se desabotonar a la camisa
22,Enviar un missatge insinuant i adonar-se que no era per aquella persona
23,Confondre una mirada sexy amb un tic nerviós
24,Fer-se amic del DJ per demanar-li cançons horribles
25,Intentar fer màgia i perdre les claus
26,Ballar tan malament que la gent pensi que és performance
27,Confondre’s de parella mentre balla enganxat
28,Fer un comentari picant a algú que resulta ser el seu cap
29,Intenti lligar amb el major número de persones en una nit
30,No agafi una indirecta
31,Intentar fer un brindis sexy i vessar-ho tot
32,Invitar-te a un sopar i fer-te pagar
33,Fer un sinpa a un restaurant
34,Intentar fer-se el dur i no fer mal ni a una mosca
35,Ballar damunt la taula i caure's
36,Intentar fer-se el graciós i provocar un silenci incòmode
37,Confondre’s de portal i no trobar casa seva
38,Fer un comentari calent i que tothom el senti
39,Intentar fer un ball sensual i semblar un flam
40,Lligar amb algú només perquè l'invitarà a un cubata
41,Fer un brindis a algú que no coneix
42,Intentar fer-se el misteriós amb ulleres de sol de nit
43,Confondre el seu abric amb el d’un desconegut i endur-se’l
44,Intentar fer un petó i topar dents
45,Fer un ball lent amb una escombra
46,Intentar fer-se el sexy menjant patates fregides
47,Confondre el nom de la seva parella amb el d’una ex
48,Fer un comentari romàntic a algú que no l’escolta
49,S'enamori més facilment
50,El deixin a la friendzone