id,place
1,En un submarí
2,A la consulta del dentista
3,En un ascensor ple
4,A la lluna
5,En un cementiri
6,A la cua del supermercat
7,En un parc d’atraccions
8,A un monestir
9,En un iglú
10,A un volcà actiu
11,En un estudi de ioga
12,A un circ
13,En un aeroport
14,A un bosc encantat
15,En un vaixell pirata
16,A un laboratori secret
17,En un museu d’art
18,A un hospital
19,En un tren d’alta velocitat
20,A un aquari
21,En un estadi de futbol
22,A una biblioteca silenciosa
23,En un desert
24,A un spa de luxe
25,En un castell medieval
26,A un gimnàs
27,En un planetari
28,A un restaurant de cinc estrelles
29,En una classe de zumba
30,A un parc infantil
31,En un refugi antiaeri
32,A un hotel abandonat
33,En un túnel de metro
34,A una platja nudista
35,En un laboratori de robots
36,A un estudi de televisió
37,En un casino
38,A un camp de blat
39,En un aeroport espacial
40,A un mercat medieval
41,En un jacuzzi
42,A un taller mecànic
43,En un bosc tropical
44,A un vaixell de creuer
45,En una cova subterrània
46,A un parc nacional
47,En un refugi de muntanya
48,A un hotel de gel
49,En un festival de música
50,A un temple antic