id,red_flag
1,"Posa ""Se vienen cositas"" a la història"
2,"Diu “jo no sóc gelós, però…”"
3,Té una carpeta de notes amb noms de crushes
4,Publica frases motivacionals passiu-agressives
5,Fa servir el “ja veurem” com a resposta oficial
6,Es fa el misteriós però només és desorganitzat
7,Diu que no vol drama però sempre en porta
8,Es fa stories al gimnàs cada dia
9,Té un ex a cada ciutat
10,Diu “jo no faig servir filtres” mentre en porta tres
11,Es fa el profund només quan vol lligar
12,Té un “bona nit” copiat i enganxat per tothom
13,Diu “no estic preparat per una relació” però vol atenció
14,Té una carpeta de notes amb noms de amb qui s'ha liat
15,Diu que no li agrada el WhatsApp però està sempre en línia
16,Es fa el misteriós i només respon a les 3 del matí
17,Té un “m’agrada fluir” tatuat a l’ànima
18,Diu “jo no sóc com els altres” massa sovint
19,Té un crush nou cada setmana
20,Diu que no creu en les etiquetes
21,Fa servir l’astrologia per justificar-ho tot
22,Penja histories a Instagram per a que li donguin like
23,No et respon perquè està jugant amb els amics
24,Diu que no vol res seriós però es posa gelòs
25,Té un ex amb qui encara parla massa
26,Diu “jo no faig servir Tinder” però té superlike diari
27,Té un “ja t’ho explicaré” que mai arriba
28,Diu que no li agrada discutir però discuteix tot
29,Té un “estic molt ocupat” permanent
30,Diu que no vol compromís però vol exclusivitat
31,Té un “no sóc de planificar” crònic
32,Diu que no vol etiquetes però vol privilegis
33,Té un “m’encanten les vibes” com a argument
34,"Diu que no és tòxic, només intens"
35,Té un “no sé què vull” etern
36,Diu que no és gelós però revisa likes
37,Té un “no puc quedar” sempre que no li convé
38,Diu que no vol drama però el crea
39,Té un “estic confús” com a estil de vida
40,Diu que no vol parlar del passat però en parla sempre
41,Diu “no sóc romàntic” però vol que li facin detalls
42,Diu que no vol pressió però pressiona
43,Té un “no sóc de missatges” però respon a tothom menys a tu
44,Diu que no vol etiquetes però et diu “carinyo”
45,Té un “estic canviant” que dura anys
46,Diu que no vol relació però fa plans de futur
47,"Té un “no sóc jo, és la meva ansietat” per tot"
48,Diu que no vol conflictes però els provoca
49,Té un “estic bé” quan no ho està
50,Diu que no vol res però no et deixa marxar