id,object
1,piruleta
2,bigoti
3,xurro
4,mandarina
5,pernil
6,turbina
7,galeta
8,cucurutxo
9,pistó
10,botó
11,carbassó
12,mocador
13,trompeta
14,pepino
15,gatet
16,tobogan
17,casc
18,pantaló
19,melmelada
20,tub
21,coixí
22,pompeta
23,cargol
24,pitet
25,globus
26,pistola
27,tovalló
28,cervell
29,trompa
30,pompó
31,carrincló
32,pitet
33,tubet
34,pinyol
35,cigró
36,cucurutxo
37,pitet
38,pantalonet
39,trompeteta
40,botonet
41,pompeta
42,cullerot
43,pinyonet
44,cuc
45,tubàs
46,galindaina
47,pampalluga
48,xiulet
49,botifarra
50,cantimplora